,[a] 0.46296,[b] 0.92593,[c] 1.38889,[d] 1.85184,[e] 2.3148,[f] 3.19442,--,--,--,--,--,--,--,--,--,--,--,--,--,--
0.7248,8.17E-05,9.23E-05,9.42E-05,9.23E-05,8.64E-05,7.00E-05,2.99E-06,7.58E-06,1.20E-05,-3.79E-06,1.98E-05,0,4.28E-04,7.90E-05,2.54E-04,-1.54E-04,-5.36E-05,-1.43E-05,1.20E-06,-2.37E-05
0.7488,8.21E-05,9.25E-05,9.48E-05,9.22E-05,8.71E-05,6.99E-05,1.18E-05,1.52E-05,1.60E-05,1.14E-05,2.33E-05,2.39E-06,1.24E-04,1.62E-04,-2.49E-04,4.74E-04,-5.85E-05,-2.11E-05,-3.32E-05,3.58E-06
0.7728,8.23E-05,9.31E-05,9.50E-05,9.29E-05,8.76E-05,7.01E-05,8.96E-06,1.53E-05,1.66E-08,1.89E-05,3.42E-06,8.96E-06,-1.21E-04,-2.32E-04,-2.45E-04,-7.42E-05,-5.50E-05,-1.08E-05,-4.40E-05,-2.85E-05
0.7969,8.25E-05,9.33E-05,9.48E-05,9.31E-05,8.72E-05,7.03E-05,5.96E-06,3.97E-06,4.21E-06,7.77E-06,-6.76E-06,4.37E-06,-1.24E-04,-1.61E-04,3.36E-04,-4.73E-04,-1.99E-05,-4.05E-05,2.69E-05,-2.53E-05
0.8209,8.25E-05,9.33E-05,9.52E-05,9.33E-05,8.72E-05,7.03E-05,2.99E-06,7.58E-06,1.62E-05,-3.79E-06,1.36E-05,4.39E-06,6.29E-05,1.58E-04,-4.50E-06,-3.83E-06,3.28E-05,-4.88E-05,-1.17E-05,-3.88E-06
0.8449,8.27E-05,9.36E-05,9.55E-05,9.29E-05,8.79E-05,7.05E-05,8.98E-06,1.16E-05,3.99E-06,7.58E-06,1.36E-05,4.39E-06,4.12E-17,8.31E-06,-2.49E-04,3.99E-04,4.39E-05,-2.48E-05,-4.81E-05,6.42E-06
0.8689,8.30E-05,9.38E-05,9.54E-05,9.36E-05,8.79E-05,7.05E-05,2.99E-06,7.98E-06,4.19E-06,1.54E-05,0,4.59E-06,-3.74E-04,-3.24E-04,2.58E-04,8.73E-05,2.03E-05,-2.25E-05,9.82E-06,-2.41E-05
0.8929,8.28E-05,9.40E-05,9.57E-05,9.36E-05,8.79E-05,7.08E-05,-8.98E-06,-3.99E-06,1.64E-05,1.18E-05,6.78E-06,8.98E-06,-1.25E-04,-2.49E-04,-4.16E-06,-1.54E-04,-2.04E-05,-1.92E-05,-1.05E-05,-1.14E-05
0.9169,8.25E-05,9.36E-05,9.61E-05,9.42E-05,8.82E-05,7.10E-05,-2.99E-06,-3.99E-06,3.99E-06,7.98E-06,6.78E-06,2.20E-06,3.74E-04,2.49E-04,-3.41E-04,-4.07E-04,-4.14E-05,7.16E-06,-3.81E-05,-1.45E-05
0.9409,8.27E-05,9.38E-05,9.59E-05,9.40E-05,8.82E-05,7.09E-05,8.98E-06,7.98E-06,-1.95E-20,-7.78E-06,0,2.39E-06,3.74E-04,1.66E-04,2.66E-04,7.90E-05,-3.72E-05,2.65E-05,2.74E-05,-2.28E-05
0.9649,8.30E-05,9.40E-05,9.61E-05,9.38E-05,8.82E-05,7.11E-05,1.50E-05,3.99E-06,1.68E-05,1.18E-05,1.38E-05,2.20E-06,-6.21E-05,7.80E-05,1.75E-04,4.08E-04,-2.91E-05,2.30E-05,1.91E-05,1.52E-05
0.9889,8.34E-05,9.40E-05,9.67E-05,9.46E-05,8.89E-05,7.10E-05,6.00E-06,1.17E-05,8.40E-06,1.18E-05,1.38E-05,-9.94E-09,-3.73E-04,2.44E-04,-4.35E-04,-7.83E-05,6.12E-06,-5.69E-06,-3.83E-05,5.18E-08
1.013,8.33E-05,9.46E-05,9.65E-05,9.44E-05,8.89E-05,7.11E-05,-2.98E-06,1.57E-05,-4.17E-06,8.00E-06,-6.98E-06,2.38E-06,-6.18E-05,-1.61E-04,7.25E-07,-2.45E-04,4.85E-05,-1.71E-05,-3.90E-06,-2.92E-05
1.037,8.33E-05,9.48E-05,9.65E-05,9.50E-05,8.85E-05,7.11E-05,2.99E-06,3.99E-06,8.38E-06,0,3.39E-06,4.39E-06,1.24E-04,-2.44E-04,2.62E-04,-1.67E-04,5.36E-05,9.55E-07,1.10E-05,-2.26E-05
1.061,8.34E-05,9.48E-05,9.69E-05,9.44E-05,8.90E-05,7.13E-05,2.99E-06,3.99E-06,8.38E-06,0,1.74E-05,4.39E-06,-6.24E-05,1.70E-04,-1.75E-04,2.49E-04,1.12E-05,1.09E-05,-3.92E-05,-9.23E-06
