"","time","Condition","Product","preds","pred.l","pred.u"
"61",1.445,"oxalic",0.571587881211048,0.57291351661163,0.568669987092421,0.577157046130839
"62",1.469,"oxalic",0.571587881211048,0.572935607397881,0.568692077878672,0.577179136917089
"63",1.493,"oxalic",0.574521608573979,0.572955568169722,0.568712038650513,0.577199097688931
"64",1.517,"oxalic",0.575499517694957,0.572973604177463,0.568730074658254,0.577217133696672
"65",1.541,"oxalic",0.573543699453003,0.572989900916734,0.568746371397525,0.577233430435943
"66",1.565,"oxalic",0.573543699453003,0.573004626025505,0.568761096506296,0.577248155544714
"67",1.589,"oxalic",0.575499517694957,0.573017930999728,0.568774401480519,0.577261460518937
"68",1.613,"oxalic",0.574521608573979,0.573029952744795,0.568786423225586,0.577273482264004
"69",1.637,"oxalic",0.573543699453003,0.573040814978409,0.5687972854592,0.577284344497618
"70",1.661,"oxalic",0.571587881211048,0.573050629499003,0.568807099979794,0.577294159018212
"71",1.685,"oxalic",0.572565790332026,0.573059497332509,0.5688159678133,0.577303026851718
"72",1.709,"oxalic",0.575499517694957,0.573067509769082,0.568823980249873,0.577311039288291
"73",1.733,"oxalic",0.574521608573979,0.573074749300287,0.568831219781079,0.577318278819496
"74",1.757,"oxalic",0.573543699453003,0.573081290466265,0.568837760947056,0.577324819985474
"75",1.781,"oxalic",0.572565790332026,0.573087200621476,0.568843671102267,0.577330730140685
"76",1.805,"oxalic",0.576477426815934,0.573092540626839,0.56884901110763,0.577336070146048
"77",1.829,"oxalic",0.57745533593691,0.573097365475298,0.56885383595609,0.577340894994507
"78",1.853,"oxalic",0.57745533593691,0.573101724857217,0.568858195338008,0.577345254376426
"79",1.877,"oxalic",0.575499517694957,0.573105663671356,0.568862134152147,0.577349193190564
"80",1.901,"oxalic",0.57745533593691,0.573109222486672,0.568865692967463,0.577352752005881
"81",0.0048,"benzoic",0.461084150540649,0.45854684379207,0.455301893638766,0.461791793945374
"82",0.0288,"benzoic",0.462062059661627,0.463090366870416,0.459845416717112,0.46633531702372
